,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
0,27502,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
1,27502,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
2,27502,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
3,27504,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
4,27504,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
5,27504,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
6,27508,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
7,27508,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
8,27508,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
9,27511,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
10,27511,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
11,27511,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
12,27512,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
13,27512,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
14,27512,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
15,27513,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
16,27513,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
17,27513,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
18,27518,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
19,27518,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
20,27518,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
21,27519,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
22,27519,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
23,27519,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
24,27520,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
25,27520,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
26,27520,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
27,27523,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
28,27523,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
29,27523,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
30,27524,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
31,27524,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
32,27524,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
33,27525,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
34,27525,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
35,27525,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
36,27526,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
37,27526,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
38,27526,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
39,27527,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
40,27527,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
41,27527,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
42,27528,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
43,27528,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
44,27528,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
45,27529,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
46,27529,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
47,27529,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
48,27539,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
49,27539,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
50,27539,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
51,27540,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
52,27540,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
53,27540,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
54,27542,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
55,27542,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
56,27542,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
57,27545,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
58,27545,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
59,27545,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
60,27549,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
61,27549,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
62,27549,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
63,27555,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
64,27555,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
65,27555,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
66,27557,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
67,27557,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
68,27557,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
69,27560,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
70,27560,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
71,27560,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
72,27562,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
73,27562,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
74,27562,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
75,27568,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
76,27568,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
77,27568,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
78,27569,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
79,27569,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
80,27569,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
81,27571,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
82,27571,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
83,27571,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
84,27576,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
85,27576,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
86,27576,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
87,27577,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
88,27577,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"37,150",59.799,1.81,"97,130","93,960"
89,27577,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,540,0.866,2.02,"108,860","100,140"
90,27587,39580.0,"Raleigh, NC",All Occupations,total,"621,270",1000.0,1.0,"56,720","43,500"
