,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
0,27502,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
1,27502,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
2,27504,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
3,27504,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
4,27508,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
5,27508,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
6,27511,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
7,27511,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
8,27512,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
9,27512,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
10,27513,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
11,27513,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
12,27518,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
13,27518,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
14,27519,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
15,27519,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
16,27520,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
17,27520,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
18,27523,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
19,27523,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
20,27524,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
21,27524,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
22,27525,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
23,27525,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
24,27526,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
25,27526,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
26,27527,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
27,27527,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
28,27528,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
29,27528,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
30,27529,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
31,27529,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
32,27539,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
33,27539,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
34,27540,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
35,27540,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
36,27542,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
37,27542,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
38,27545,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
39,27545,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
40,27549,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
41,27549,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
42,27555,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
