,zip,latitude,longitude,median_sale_price,percent_change_home_price,parent_metro_region,total_stores,occupation,total_employment,jobs_per_1000,annual_mean_salary,annual_median_salary,city_year,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
0,27502,35.71525,-78.920992,151149.5,-0.7846850950192523,"Raleigh, NC",3.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
1,27504,35.400309,-78.518278,148750.0,-0.4513925659218469,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
2,27508,35.956874,-78.248144,282375.0,0.5701113274744422,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
3,27511,35.763414,-78.788528,440000.0,0.0232558139534884,"Raleigh, NC",3.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
4,27513,35.802102,-78.802719,359672.131147541,0.1856604309684359,"Raleigh, NC",3.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
5,27518,35.731139,-78.773206,374406.5,-0.4887211592128802,"Raleigh, NC",7.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
6,27519,35.808578,-78.883326,300933.3333333333,-0.479221802142407,"Raleigh, NC",6.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
7,27520,35.619732,-78.477026,152124.5,-0.606598297290579,"Raleigh, NC",1.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
8,27524,35.394563,-78.387595,294017.4375,-0.0515286868446679,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
9,27525,36.136109,-78.458098,303297.75,0.1425477008484432,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
10,27527,35.653948,-78.381715,191380.0,-0.4776782319396659,"Raleigh, NC",1.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
11,27529,35.655625,-78.584906,305568.6666666667,0.1147451891174519,"Raleigh, NC",4.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
12,27539,35.676537,-78.813444,350684.2105263158,-0.0365607182272705,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
13,27540,35.615062,-78.891559,270920.0,-0.3989331535814382,"Raleigh, NC",3.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
14,27542,35.618293,-78.136838,233500.0,-0.0930277723829869,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
15,27545,35.78372,-78.478238,281400.0,0.1734055354993983,"Raleigh, NC",2.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
16,27549,36.101663,-78.232233,260857.14285714287,0.3108388382477764,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
17,27555,35.562683,-78.204133,283699.57236842107,0.4688721910509355,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
18,27560,35.857892,-78.827698,185708.3333333333,-0.4556655196809879,"Raleigh, NC",6.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
19,27569,35.429065,-78.182749,240878.4,0.0724293789731051,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
20,27571,35.91949,-78.458036,259405.5555555556,-0.2513893570799858,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
21,27576,35.577524,-78.261311,260000.0,0.0,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
22,27577,35.489638,-78.332894,291450.0,0.1895918367346938,"Raleigh, NC",1.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
23,27587,35.986719,-78.554351,148632.21276595743,-0.5045592907801418,"Raleigh, NC",5.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
24,27591,35.78417,-78.388983,288933.3333333333,0.1018483738723801,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
25,27592,35.557356,-78.672245,222323.25,-0.2801299111142308,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
26,27596,35.999902,-78.435089,190642.8571428572,-0.5950638655286287,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
27,27597,35.841015,-78.30268,240566.66666666663,-0.0546321251099071,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
28,27601,35.773632,-78.634457,236705.8823529412,-0.4583395383469842,"Raleigh, NC",1.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
29,27603,35.664418,-78.652751,322571.4285714286,0.1892602778336303,"Raleigh, NC",1.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
30,27604,35.822789,-78.561648,359020.0,0.1397460317460317,"Raleigh, NC",1.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
31,27605,35.790609,-78.654594,463714.28571428574,-0.1553515531982361,"Raleigh, NC",3.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
32,27606,35.742323,-78.715478,275676.4705882353,-0.7877090319949243,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
33,27607,35.813106,-78.721175,433000.0,-0.1231541169180781,"Raleigh, NC",2.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
34,27608,35.809046,-78.647228,455000.0,0.0894902967290705,"Raleigh, NC",0.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
35,27609,35.843765,-78.633643,539500.0,0.0898989898989899,"Raleigh, NC",5.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
36,27610,35.7444,-78.546278,300000.0,-0.1079996837261423,"Raleigh, NC",1.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
37,27612,35.855753,-78.707038,547500.0,0.0960960960960961,"Raleigh, NC",4.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
38,27613,35.926102,-78.711414,473333.3333333333,0.0052710843373493,"Raleigh, NC",3.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
39,27614,35.945927,-78.619492,548250.0,-0.018422145561392,"Raleigh, NC",2.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
40,27615,35.8985,-78.635485,423766.6666666667,-0.0672593901672752,"Raleigh, NC",4.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
41,27616,35.866734,-78.541216,251335.0,-0.5153674470104397,"Raleigh, NC",2.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
42,27617,35.907875,-78.77296,36300.0,-0.8399716312056738,"Raleigh, NC",2.0,Computer and Mathematical Occupations,37150.0,59.799,97130.0,93960.0,,,,,,,
43,27816,36.108992,-78.070319,246000.0,0.0054511278195488,"Raleigh, NC",0.0,,,,,,,,,,,,
44,30002,33.773335,-84.261667,594078.5,0.3020898630136985,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
45,30004,34.145614,-84.291894,300436.79069767444,-0.5186322024500728,"Atlanta, GA",7.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,49629.0,35457.0,71.4,3.0,1906.0,5.5
46,30005,34.089039,-84.217099,640000.0,0.032258064516129,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,29699.0,21511.0,72.4,3.5,1096.0,5.3
47,30008,33.897634,-84.589572,183476.1194029851,-0.1971958434534729,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
48,30009,34.079096,-84.305262,451716.6666666666,-0.2258210256305208,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,13595.0,9332.0,68.6,5.2,431.0,4.9
49,30011,34.019859,-83.837163,181000.0,-0.465050802610466,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
50,30012,33.717806,-84.002515,169213.88888888888,0.1479257126121028,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
51,30013,33.64517,-83.972188,61678.42105263158,-0.8123910652686226,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
