,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor,average_yearly_rate_of_change,total_ARC
0,miami_2011,33010,38495,21163,55.0,12.3,173,0.9,0.0,0.1
1,miami_2012,33010,38977,21705,55.7,15.0,177,1.0,0.11,0.1
2,miami_2013,33010,39320,21894,55.7,15.3,156,0.8,-0.2,0.1
3,miami_2014,33010,39487,21848,55.3,15.2,246,1.3,0.62,0.1
4,miami_2015,33010,39132,21912,56.0,13.4,270,1.4,0.08,0.1
5,miami_2016,33010,40304,22649,56.2,11.1,401,2,0.43,0.1
6,miami_2017,33010,40326,22113,54.8,7.6,439,2.1,0.05,0.1
7,miami_2018,33010,40572,22572,55.6,6.3,402,1.9,-0.1,0.1
8,miami_2019,33010,39061,22276,57.0,5.2,385,1.8,-0.05,0.1
9,miami_2011,33010,38495,21163,55.0,12.3,173,0.9,0.0,0.1
10,miami_2012,33010,38977,21705,55.7,15.0,177,1.0,0.11,0.1
11,miami_2013,33010,39320,21894,55.7,15.3,156,0.8,-0.2,0.1
12,miami_2014,33010,39487,21848,55.3,15.2,246,1.3,0.62,0.1
13,miami_2015,33010,39132,21912,56.0,13.4,270,1.4,0.08,0.1
14,miami_2016,33010,40304,22649,56.2,11.1,401,2,0.43,0.1
15,miami_2017,33010,40326,22113,54.8,7.6,439,2.1,0.05,0.1
16,miami_2018,33010,40572,22572,55.6,6.3,402,1.9,-0.1,0.1
17,miami_2019,33010,39061,22276,57.0,5.2,385,1.8,-0.05,0.1
18,miami_2011,33031,4873,3094,63.5,6.7,0,0.0,0.0,0.41
19,miami_2012,33031,5340,3258,61.0,9.4,0,0.0,0.0,0.41
20,miami_2013,33031,5153,3060,59.4,11.9,0,0.0,0.0,0.41
21,miami_2014,33031,5039,3113,61.8,11.4,0,0.0,0.0,0.41
22,miami_2015,33031,5324,3486,65.5,9.4,0,0.0,0.0,0.41
23,miami_2016,33031,5175,3503,67.7,8.5,8,0.3,0.0,0.41
24,miami_2017,33031,4931,3387,68.7,5.9,36,1.1,2.67,0.41
25,miami_2018,33031,5655,3960,70.0,5.2,41,1.1,0.0,0.41
26,miami_2019,33031,5580,3817,68.4,3.6,66,1.8,0.64,0.41
27,miami_2011,33033,33845,21877,64.6,9.9,356,1.8,0.0,0.0
28,miami_2012,33033,36322,23309,64.2,11.5,317,1.6,-0.11,0.0
29,miami_2013,33033,37344,23849,63.9,13.0,385,1.9,0.19,0.0
30,miami_2014,33033,38734,24572,63.4,12.5,308,1.5,-0.21,0.0
31,miami_2015,33033,40979,26004,63.5,14.2,297,1.4,-0.07,0.0
32,miami_2016,33033,40992,25325,61.8,13,338,1.6,0.14,0.0
33,miami_2017,33033,42491,26044,61.3,12.0,312,1.4,-0.12,0.0
34,miami_2018,33033,42367,26773,63.2,8.6,199,0.8,-0.43,0.0
35,miami_2019,33033,42059,27423,65.2,8.6,314,1.3,0.62,0.0
36,miami_2011,33035,8438,5815,68.9,6.8,221,4.1,0.0,-0.09
37,miami_2012,33035,9108,6306,69.2,10.6,181,3.3,-0.2,-0.09
38,miami_2013,33035,10027,6807,67.9,12.1,353,6.1,0.85,-0.09
39,miami_2014,33035,10345,7119,68.8,11.9,196,3.2,-0.48,-0.09
40,miami_2015,33035,11107,7948,71.6,11.5,141,2.0,-0.38,-0.09
41,miami_2016,33035,12234,8732,71.4,10,221,2.9,0.45,-0.09
42,miami_2017,33035,11807,8573,72.6,9.7,171,2.2,-0.24,-0.09
43,miami_2018,33035,11478,8463,73.7,8.8,25,0.3,-0.86,-0.09
44,miami_2019,33035,11960,8552,71.5,8.2,23,0.3,0.0,-0.09
45,miami_2011,33135,30033,17337,57.7,10.4,201,1.3,0.0,0.02
46,miami_2012,33135,30347,17352,57.2,13.9,123,0.8,-0.38,0.02
47,miami_2013,33135,30127,17133,56.9,16.0,140,1.0,0.25,0.02
48,miami_2014,33135,30330,17625,58.1,14.6,147,1.0,0.0,0.02
49,miami_2015,33135,32306,18735,58.0,14.0,140,0.9,-0.1,0.02
50,miami_2016,33135,33283,19318,58,11.9,113,0.7,-0.22,0.02
51,miami_2017,33135,33771,19608,58.1,9.1,133,0.7,0.0,0.02
52,miami_2018,33135,33829,19810,58.6,7.7,144,0.8,0.14,0.02
53,miami_2019,33135,33116,19338,58.4,7.6,210,1.2,0.5,0.02
54,miami_2011,33134,31655,19670,62.1,9.4,718,4.0,0.0,0.0
55,miami_2012,33134,32447,20304,62.6,10.7,536,3.0,-0.25,0.0
56,miami_2013,33134,34278,21472,62.6,10.6,370,1.9,-0.37,0.0
57,miami_2014,33134,35683,22670,63.5,9.4,432,2.1,0.1,0.0
58,miami_2015,33134,37082,23752,64.1,7.2,398,1.8,-0.14,0.0
