zip_atlanta_2012,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 30004,39530,28403,71.9,5.4,1868,7.0
 30005,25836,18895,73.1,4.7,973,5.4
 30009,10170,6857,67.4,4.3,374,5.7
 30022,48021,35140,73.2,7.2,1747,5.4
 30024,47374,33656,71.0,7.3,1523,4.9
 30075,41950,29577,70.5,7.1,1255,4.6
 30076,31868,23413,73.5,7.0,1213,5.6
 30092,23977,17926,74.8,8.7,707,4.3
 30097,30173,19972,66.2,6.6,778,4.2
 30213,20482,14554,71.1,13.9,390,3.1
 30268,6867,4646,67.7,12.7,73,1.8
 30291,15272,10576,69.3,12.3,349,3.8
 30296,20791,14839,71.4,18.8,207,1.7
 30303,4178,1796,43.0,19.2,10,0.7
 30305,17762,11600,65.3,6.2,415,3.8
 30306,17917,14268,79.6,4.5,729,5.4
 30307,14087,11095,78.8,5.0,622,5.9
 30308,14471,10826,74.8,11.6,701,7.3
 30309,19112,15406,80.6,3.8,735,5.0
 30310,20365,11861,58.2,19.2,435,4.6
 30311,27583,16201,58.7,20.6,259,2.0
 30312,15407,11674,75.8,10.0,525,5.0
 30313,9433,4750,50.4,15.0,172,4.3
 30314,19006,9807,51.6,21.4,274,3.6
 30315,26497,13866,52.3,19.4,268,2.4
 30316,26126,16314,62.4,12.5,754,5.3
 30317,9877,6855,69.4,9.7,212,3.4
 30318,43972,28387,64.6,16.0,1029,4.3
 30319,30861,21727,70.4,4.8,1101,5.3
 30324,22597,18565,82.2,8.1,671,3.9
 30326,4265,3203,75.1,2.5,26,0.8
 30327,17477,10670,61.1,5.2,356,3.5
 30328,25794,18079,70.1,6.5,776,4.6
 30331,44682,28907,64.7,14.3,677,2.7
 30332,3453,1157,33.5,29.7,24,3.0
 30334,0,0,-,-,0,-
 30336,451,241,53.4,17.0,0,0.0
 30337,8429,5646,67.0,14.8,102,2.1
 30338,25774,17110,66.4,5.4,784,4.8
 30339,16598,13421,80.9,3.4,633,4.9
 30342,23876,18033,75.5,6.1,445,2.6
 30344,25421,17100,67.3,18.7,327,2.4
 30349,49331,36319,73.6,15.0,949,3.1
 30350,27000,20336,75.3,7.0,727,3.8
 30354,11798,7259,61.5,19.7,148,2.5
 30363,2414,1875,77.7,8.2,102,5.9
Georgia,7508748,4844814,64.5,10.7,108767,2.5
"Atlanta CCD, Fulton County, Georgia",440141,294717,67.0,11.5,10606,4.1
