zip_austin_2013,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 77418,7338,4382,59.7,8.7,36,0.9
 77426,1798,928,51.6,3.2,0,0.0
 77473,76,46,60.5,19.6,0,0.0
 77474,9859,6644,67.4,9.4,22,0.4
 77485,3075,1840,59.8,3.0,32,1.8
 77833,22408,12459,55.6,4.5,236,2.0
 77835,1944,1072,55.1,4.3,0,0.0
 78931,176,99,56.3,0.0,0,0.0
 78933,1248,817,65.5,3.9,0,0.0
 78940,2027,1263,62.3,1.8,25,2.0
 78944,551,303,55.0,6.6,4,1.4
 78950,2135,1313,61.5,6.9,10,0.8
 78954,926,482,52.1,2.7,0,0.0
"Austin CCD, Travis County, Texas",638240,462907,72.5,7.6,11599,2.7
