zip_miami_2011,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 33010,38495,21163,55.0,12.3,173,0.9
 33012,62815,36088,57.5,8.7,613,1.9
 33013,27828,15940,57.3,13.1,136,1.0
 33014,33206,20383,61.4,11.7,408,2.3
 33015,46159,32832,71.1,7.0,690,2.3
 33016,37019,24166,65.3,11.3,437,2.0
 33018,36437,23946,65.7,9.0,455,2.1
 33030,22829,15149,66.4,13.8,228,1.7
 33031,4873,3094,63.5,6.7,0,0.0
 33032,23247,15418,66.3,12.3,446,3.3
 33033,33845,21877,64.6,9.9,356,1.8
 33034,24262,6582,27.1,15.0,108,1.9
 33035,8438,5815,68.9,6.8,221,4.1
 33039,43,43,100.0,0.0,0,0.0
 33054,22589,12087,53.5,13.5,78,0.7
 33055,35609,22223,62.4,13.6,302,1.6
 33056,25581,16481,64.4,14.6,254,1.8
 33101,0,0,-,-,0,-
 33109,150,80,53.3,13.8,6,8.7
 33122,0,0,-,-,0,-
 33125,46101,26870,58.3,8.5,239,1.0
 33126,38945,25524,65.5,11.5,444,2.0
 33127,23339,13440,57.6,18.0,234,2.1
 33128,6312,3551,56.3,9.7,94,2.9
 33129,11512,7960,69.1,5.1,321,4.2
 33130,19308,11554,59.8,5.9,189,1.7
 33131,10058,8240,81.9,3.6,322,4.1
 33132,6593,4100,62.2,5.8,156,4.0
 33133,27282,18137,66.5,9.0,444,2.7
 33134,31655,19670,62.1,9.4,718,4.0
 33135,30033,17337,57.7,10.4,201,1.3
 33136,10059,5509,54.8,14.8,51,1.1
 33137,15728,11081,70.5,12.2,385,4.0
 33138,21605,14442,66.8,13.2,338,2.7
 33139,34971,25426,72.7,4.8,901,3.7
 33140,16535,10090,61.0,4.9,207,2.2
 33141,30623,20890,68.2,5.4,777,3.9
 33142,43262,23409,54.1,16.0,254,1.3
 33143,24644,15965,64.8,8.5,311,2.1
 33144,21645,12765,59.0,16.1,148,1.4
 33145,27664,17158,62.0,6.9,163,1.0
 33146,13368,6467,48.4,6.9,137,2.3
 33147,33860,20092,59.3,17.9,260,1.6
 33149,9065,5129,56.6,3.0,114,2.3
 33150,20294,12311,60.7,17.4,151,1.5
 33154,11588,7484,64.6,6.2,220,3.1
 33155,37158,23524,63.3,6.9,489,2.2
 33156,23594,14988,63.5,5.4,411,2.9
 33157,50396,32666,64.8,10.0,683,2.3
 33158,5304,3132,59.0,4.3,17,0.6
 33160,32189,18142,56.4,6.1,543,3.2
 33161,39767,24866,62.5,12.8,356,1.6
 33162,34268,23288,68.0,13.3,245,1.2
 33165,47359,27642,58.4,7.0,641,2.5
 33166,17409,11700,67.2,10.6,244,2.3
 33167,14899,8671,58.2,14.8,85,1.2
 33168,20988,14061,67.0,14.2,192,1.6
 33169,28213,19795,70.2,12.4,502,2.9
 33170,8445,5312,62.9,12.6,118,2.5
 33172,31467,20655,65.6,9.8,567,3.1
 33173,29759,19415,65.2,8.1,493,2.8
 33174,23733,13386,56.4,8.7,155,1.3
 33175,44618,27911,62.6,10.8,661,2.7
 33176,41279,27211,65.9,9.3,434,1.8
 33177,42676,27350,64.1,9.9,640,2.6
 33178,30410,18630,61.3,4.3,765,4.3
 33179,32076,21662,67.5,8.7,403,2.0
 33180,26406,15179,57.5,9.1,625,4.5
 33181,14053,9605,68.3,11.3,120,1.4
 33182,11881,8057,67.8,7.5,245,3.3
 33183,29579,19859,67.1,8.2,348,1.9
 33184,17731,11560,65.2,5.3,141,1.3
 33185,21411,14531,67.9,6.2,400,2.9
 33186,55263,39921,72.2,7.3,763,2.1
 33187,13128,8391,63.9,10.7,83,1.1
 33189,17641,11854,67.2,10.4,218,2.1
 33190,7305,5111,70.0,8.7,81,1.7
 33193,36037,24131,67.0,8.6,605,2.7
 33194,5728,2835,49.5,8.2,70,2.7
 33196,34157,24449,71.6,10.0,724,3.3
"Miami CCD, Miami-Dade County, Florida",727236,449538,61.8,11.3,8363,2.1
