,zip,gentrification_score
0,30004,107
1,30005,32
2,30009,68
3,30022,47
4,30024,126
5,30032,108
6,30076,120
7,30092,55
8,30097,42
9,30213,141
10,30268,79
11,30291,144
12,30296,134
13,30303,41
14,30305,15
15,30306,26
16,30307,88
17,30308,43
18,30309,104
19,30310,105
20,30311,139
21,30312,46
22,30313,17
23,30314,117
24,30317,143
25,30318,71
26,30319,25
27,30324,30
28,30326,13
29,30327,29
30,30328,44
31,30331,119
32,30336,131
33,30337,97
34,30338,48
35,30339,76
36,30342,18
37,30349,113
38,30350,146
39,30354,124
40,33010,82
41,33012,102
42,33013,116
43,33014,52
44,33015,77
45,33018,130
46,33030,87
47,33031,28
48,33032,84
49,33033,93
50,33034,118
51,33035,94
52,33054,136
53,33055,127
54,33056,75
55,33109,1
56,33122,14
57,33125,109
58,33126,95
59,33127,92
60,33129,85
61,33130,74
62,33131,20
63,33134,16
64,33135,73
65,33137,7
66,33138,4
67,33139,3
68,33140,5
69,33141,96
70,33142,135
71,33144,69
72,33145,50
73,33146,10
74,33147,12
75,33149,2
76,33154,39
77,33155,40
78,33156,6
79,33157,66
80,33158,19
81,33161,140
82,33162,81
83,33165,61
84,33167,138
85,33168,99
86,33169,100
87,33170,90
88,33172,62
89,33173,59
90,33175,78
91,33176,33
92,33177,91
93,33178,98
94,33179,63
95,33180,23
96,33181,9
97,33182,128
98,33183,57
99,33185,49
100,33186,129
101,33187,34
102,33189,65
103,33190,101
104,33193,70
105,33194,36
106,78610,145
107,78613,125
108,78617,106
109,78641,86
110,78652,54
111,78653,123
112,78664,83
113,78681,22
114,78701,111
115,78702,27
116,78703,8
117,78704,72
118,78717,110
119,78719,112
120,78721,115
121,78722,67
122,78723,114
123,78724,103
124,78727,64
125,78728,53
126,78730,11
127,78732,24
128,78733,56
129,78734,37
130,78736,45
131,78737,21
132,78738,35
133,78739,31
134,78741,132
135,78742,142
136,78744,121
137,78745,51
138,78747,80
139,78748,122
140,78749,38
141,78750,58
142,78751,137
143,78753,89
144,78756,133
145,78758,60
