,period_begin,period_end,zip,parent_metro_region,median_sale_price,property_type,LAT,LNG
4,2012-01-01,2012-03-31,30518,"Atlanta, GA",130000.0,Single Family Residential,34.130846,-84.027398
5,2012-02-01,2012-04-30,30518,"Atlanta, GA",136000.0,Single Family Residential,34.130846,-84.027398
7,2012-03-01,2012-05-31,30518,"Atlanta, GA",137900.0,Single Family Residential,34.130846,-84.027398
10,2012-04-01,2012-06-30,30518,"Atlanta, GA",139500.0,Single Family Residential,34.130846,-84.027398
12,2012-05-01,2012-07-31,30518,"Atlanta, GA",141000.0,Single Family Residential,34.130846,-84.027398
16,2012-06-01,2012-08-31,30518,"Atlanta, GA",145000.0,Single Family Residential,34.130846,-84.027398
21,2012-07-01,2012-09-30,30518,"Atlanta, GA",155450.0,Single Family Residential,34.130846,-84.027398
25,2012-08-01,2012-10-31,30518,"Atlanta, GA",154900.0,Single Family Residential,34.130846,-84.027398
26,2012-09-01,2012-11-30,30518,"Atlanta, GA",153000.0,Single Family Residential,34.130846,-84.027398
31,2012-10-01,2012-12-31,30518,"Atlanta, GA",155000.0,Single Family Residential,34.130846,-84.027398
37,2013-01-01,2013-03-31,30518,"Atlanta, GA",175250.0,Single Family Residential,34.130846,-84.027398
41,2013-02-01,2013-04-30,30518,"Atlanta, GA",178000.0,Single Family Residential,34.130846,-84.027398
46,2013-04-01,2013-06-30,30518,"Atlanta, GA",193900.0,Single Family Residential,34.130846,-84.027398
49,2013-05-01,2013-07-31,30518,"Atlanta, GA",199980.0,Single Family Residential,34.130846,-84.027398
54,2013-06-01,2013-08-31,30518,"Atlanta, GA",194450.0,Single Family Residential,34.130846,-84.027398
59,2013-07-01,2013-09-30,30518,"Atlanta, GA",193000.0,Single Family Residential,34.130846,-84.027398
65,2013-08-01,2013-10-31,30518,"Atlanta, GA",190000.0,Single Family Residential,34.130846,-84.027398
68,2013-09-01,2013-11-30,30518,"Atlanta, GA",198500.0,Single Family Residential,34.130846,-84.027398
71,2013-10-01,2013-12-31,30518,"Atlanta, GA",208000.0,Single Family Residential,34.130846,-84.027398
75,2013-12-01,2014-02-28,30518,"Atlanta, GA",197000.0,Single Family Residential,34.130846,-84.027398
81,2014-03-01,2014-05-31,30518,"Atlanta, GA",208950.0,Single Family Residential,34.130846,-84.027398
84,2014-04-01,2014-06-30,30518,"Atlanta, GA",224500.0,Single Family Residential,34.130846,-84.027398
87,2014-05-01,2014-07-31,30518,"Atlanta, GA",205000.0,Single Family Residential,34.130846,-84.027398
94,2014-08-01,2014-10-31,30518,"Atlanta, GA",207000.0,Single Family Residential,34.130846,-84.027398
98,2014-09-01,2014-11-30,30518,"Atlanta, GA",207615.0,Single Family Residential,34.130846,-84.027398
103,2014-10-01,2014-12-31,30518,"Atlanta, GA",213500.0,Single Family Residential,34.130846,-84.027398
106,2014-12-01,2015-02-28,30518,"Atlanta, GA",211000.0,Single Family Residential,34.130846,-84.027398
108,2015-01-01,2015-03-31,30518,"Atlanta, GA",223045.0,Single Family Residential,34.130846,-84.027398
118,2015-03-01,2015-05-31,30518,"Atlanta, GA",230000.0,Single Family Residential,34.130846,-84.027398
120,2015-04-01,2015-06-30,30518,"Atlanta, GA",226000.0,Single Family Residential,34.130846,-84.027398
125,2015-07-01,2015-09-30,30518,"Atlanta, GA",211150.0,Single Family Residential,34.130846,-84.027398
132,2015-09-01,2015-11-30,30518,"Atlanta, GA",209000.0,Single Family Residential,34.130846,-84.027398
142,2015-12-01,2016-02-29,30518,"Atlanta, GA",211200.0,Single Family Residential,34.130846,-84.027398
146,2016-01-01,2016-03-31,30518,"Atlanta, GA",222550.0,Single Family Residential,34.130846,-84.027398
147,2016-02-01,2016-04-30,30518,"Atlanta, GA",225000.0,Single Family Residential,34.130846,-84.027398
152,2016-04-01,2016-06-30,30518,"Atlanta, GA",242750.0,Single Family Residential,34.130846,-84.027398
156,2016-05-01,2016-07-31,30518,"Atlanta, GA",254000.0,Single Family Residential,34.130846,-84.027398
157,2016-06-01,2016-08-31,30518,"Atlanta, GA",254000.0,Single Family Residential,34.130846,-84.027398
168,2016-10-01,2016-12-31,30518,"Atlanta, GA",248950.0,Single Family Residential,34.130846,-84.027398
171,2016-12-01,2017-02-28,30518,"Atlanta, GA",263500.0,Single Family Residential,34.130846,-84.027398
173,2017-01-01,2017-03-31,30518,"Atlanta, GA",258950.0,Single Family Residential,34.130846,-84.027398
176,2017-02-01,2017-04-30,30518,"Atlanta, GA",265000.0,Single Family Residential,34.130846,-84.027398
180,2017-03-01,2017-05-31,30518,"Atlanta, GA",276000.0,Single Family Residential,34.130846,-84.027398
183,2017-04-01,2017-06-30,30518,"Atlanta, GA",282000.0,Single Family Residential,34.130846,-84.027398
184,2017-05-01,2017-07-31,30518,"Atlanta, GA",275000.0,Single Family Residential,34.130846,-84.027398
187,2017-06-01,2017-08-31,30518,"Atlanta, GA",269900.0,Single Family Residential,34.130846,-84.027398
203,2017-12-01,2018-02-28,30518,"Atlanta, GA",269000.0,Single Family Residential,34.130846,-84.027398
214,2018-04-01,2018-06-30,30518,"Atlanta, GA",279450.0,Single Family Residential,34.130846,-84.027398
217,2018-05-01,2018-07-31,30518,"Atlanta, GA",286500.0,Single Family Residential,34.130846,-84.027398
223,2018-07-01,2018-09-30,30518,"Atlanta, GA",282450.0,Single Family Residential,34.130846,-84.027398
225,2018-08-01,2018-10-31,30518,"Atlanta, GA",285000.0,Single Family Residential,34.130846,-84.027398
227,2018-09-01,2018-11-30,30518,"Atlanta, GA",287500.0,Single Family Residential,34.130846,-84.027398
230,2018-10-01,2018-12-31,30518,"Atlanta, GA",295000.0,Single Family Residential,34.130846,-84.027398
243,2019-03-01,2019-05-31,30518,"Atlanta, GA",295000.0,Single Family Residential,34.130846,-84.027398
245,2019-04-01,2019-06-30,30518,"Atlanta, GA",290000.0,Single Family Residential,34.130846,-84.027398
249,2019-05-01,2019-07-31,30518,"Atlanta, GA",288745.0,Single Family Residential,34.130846,-84.027398
257,2019-07-01,2019-09-30,30518,"Atlanta, GA",300000.0,Single Family Residential,34.130846,-84.027398
260,2019-08-01,2019-10-31,30518,"Atlanta, GA",300000.0,Single Family Residential,34.130846,-84.027398
266,2019-09-01,2019-11-30,30518,"Atlanta, GA",299000.0,Single Family Residential,34.130846,-84.027398
268,2019-10-01,2019-12-31,30518,"Atlanta, GA",302000.0,Single Family Residential,34.130846,-84.027398
273,2019-11-01,2020-01-31,30518,"Atlanta, GA",293000.0,Single Family Residential,34.130846,-84.027398
