,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
56,27502,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
607,27504,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
1158,27508,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
1709,27511,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
2260,27512,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
2811,27513,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
3362,27518,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
3913,27519,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
4464,27520,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
5015,27523,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
5566,27524,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
6117,27525,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
6668,27526,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
7219,27527,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
7770,27528,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
8321,27529,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
8872,27539,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
9423,27540,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
9974,27542,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
10525,27545,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
11076,27549,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
11627,27555,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
12178,27557,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
