,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
0,austin_2011, 78610,16643,11964,71.9,6.2,192,1.7
1,austin_2011, 78613,45658,34552,75.7,6.6,1012,3.1
2,austin_2011, 78617,12853,8159,63.5,13.0,38,0.5
3,austin_2011, 78641,30863,23413,75.9,6.0,542,2.5
4,austin_2011, 78652,3536,2680,75.8,7.6,159,6.4
5,austin_2011, 78653,9996,7115,71.2,5.8,100,1.5
6,austin_2011, 78660,47479,36692,77.3,7.4,1013,3.0
7,austin_2011, 78664,37687,29671,78.7,7.9,738,2.7
8,austin_2011, 78681,36247,27667,76.3,6.3,681,2.6
9,austin_2011, 78701,5028,3591,71.4,8.7,112,3.4
10,austin_2011, 78702,16184,10463,64.7,11.4,210,2.3
11,austin_2011, 78703,16066,11288,70.3,3.4,482,4.4
12,austin_2011, 78704,35575,28213,79.3,6.9,736,2.8
13,austin_2011, 78705,28691,12928,45.1,14.4,325,2.9
14,austin_2011, 78712,544,81,14.9,33.3,0,0.0
15,austin_2011, 78717,16052,12685,79.0,4.6,426,3.5
16,austin_2011, 78719,956,690,72.2,10.9,0,0.0
17,austin_2011, 78721,8250,4892,59.3,13.5,70,1.7
18,austin_2011, 78722,5053,3905,77.3,6.5,199,5.5
19,austin_2011, 78723,22188,15896,71.6,10.3,375,2.6
20,austin_2011, 78724,13926,8968,64.4,7.8,64,0.8
21,austin_2011, 78725,4374,3421,78.2,10.6,52,1.7
22,austin_2011, 78726,10290,8495,82.6,4.3,263,3.2
23,austin_2011, 78727,23324,18473,79.2,5.6,827,4.7
24,austin_2011, 78728,16623,13257,79.8,6.3,257,2.1
25,austin_2011, 78729,21714,17642,81.2,6.2,467,2.8
26,austin_2011, 78730,6247,4587,73.4,3.2,225,5.1
27,austin_2011, 78731,20971,13892,66.2,4.0,411,3.1
28,austin_2011, 78732,8795,6430,73.1,4.9,231,3.8
29,austin_2011, 78733,6618,4378,66.2,2.7,34,0.8
30,austin_2011, 78734,13507,8738,64.7,4.9,150,1.8
31,austin_2011, 78735,12780,8562,67.0,3.7,191,2.3
32,austin_2011, 78736,5536,3865,69.8,5.3,93,2.5
33,austin_2011, 78737,9277,6261,67.5,4.1,115,1.9
34,austin_2011, 78738,8300,5345,64.4,5.4,93,1.8
35,austin_2011, 78739,11120,7679,69.1,2.4,148,2.0
36,austin_2011, 78741,36791,28724,78.1,8.0,450,1.7
37,austin_2011, 78742,610,341,55.9,15.3,0,0.0
38,austin_2011, 78744,29720,21786,73.3,8.0,248,1.2
39,austin_2011, 78745,45419,34986,77.0,7.4,1131,3.5
40,austin_2011, 78746,20805,13589,65.3,3.9,406,3.1
41,austin_2011, 78747,9722,7457,76.7,6.5,68,1.0
42,austin_2011, 78748,29910,23813,79.6,5.1,442,2.0
43,austin_2011, 78749,26301,20589,78.3,3.2,624,3.1
44,austin_2011, 78750,21538,15402,71.5,6.1,514,3.6
45,austin_2011, 78751,13101,10082,77.0,7.9,304,3.3
46,austin_2011, 78752,13317,10325,77.5,8.9,204,2.2
47,austin_2011, 78753,38711,29400,75.9,8.9,438,1.6
48,austin_2011, 78754,10511,8152,77.6,6.1,201,2.6
49,austin_2011, 78756,6609,5181,78.4,4.6,138,2.8
50,austin_2011, 78757,19181,14094,73.5,5.5,398,3.0
51,austin_2011, 78758,34018,26613,78.2,9.4,565,2.3
52,austin_2011,77418,7382,4418,59.8,5.2,17,0.4
53,austin_2011,77426,1294,597,46.1,0.2,0,0.0
54,austin_2011,77473,67,39,58.2,7.7,0,0.0
55,austin_2011,77474,10066,7039,69.9,6.4,40,0.6
56,austin_2011,77485,2749,1612,58.6,2.5,19,1.2
57,austin_2011,77833,22458,13129,58.5,5.3,298,2.4
58,austin_2011,77835,1864,912,48.9,2.5,17,1.9
59,austin_2011,78931,193,94,48.7,0.0,0,0.0
60,austin_2011,78933,955,607,63.6,7.2,31,5.5
61,austin_2011,78940,1818,1188,65.3,1.9,39,3.3
62,austin_2011,78944,456,284,62.3,2.1,5,1.8
63,austin_2011,78950,1764,1195,67.7,5.8,9,0.8
64,austin_2011,78954,979,558,57.0,0.0,0,0.0
65,austin_2012, 78610,18149,13129,72.3,7.2,322,2.6
66,austin_2012, 78613,46833,34955,74.6,7.3,1143,3.5
67,austin_2012, 78617,13998,9124,65.2,15.1,55,0.7
68,austin_2012, 78641,33652,25277,75.1,7.0,525,2.2
69,austin_2012, 78652,3822,2842,74.4,5.9,233,8.7
70,austin_2012, 78653,10757,7807,72.6,7.0,81,1.1
71,austin_2012, 78660,50038,38302,76.5,7.7,999,2.8
72,austin_2012, 78664,39468,30465,77.2,8.4,604,2.2
73,austin_2012, 78681,37679,28578,75.8,6.3,711,2.7
74,austin_2012, 78701,5477,3881,70.9,8.9,154,4.4
75,austin_2012, 78702,16293,10802,66.3,11.1,245,2.6
76,austin_2012, 78703,16384,11690,71.4,3.8,435,3.9
77,austin_2012, 78704,35634,28129,78.9,6.9,917,3.5
78,austin_2012, 78705,29913,13452,45.0,14.4,285,2.5
79,austin_2012, 78712,554,93,16.8,20.4,0,0.0
80,austin_2012, 78717,17046,13456,78.9,5.2,460,3.6
81,austin_2012, 78719,1221,753,61.7,15.1,0,0.0
82,austin_2012, 78721,8416,4863,57.8,15.8,91,2.2
83,austin_2012, 78722,5295,4156,78.5,7.8,261,6.8
84,austin_2012, 78723,23283,16259,69.8,9.8,398,2.7
85,austin_2012, 78724,14429,9170,63.6,7.8,57,0.7
86,austin_2012, 78725,4810,3828,79.6,8.6,51,1.5
87,austin_2012, 78726,9936,7970,80.2,3.9,227,3.0
88,austin_2012, 78727,23843,18723,78.5,5.6,693,3.9
89,austin_2012, 78728,17142,13250,77.3,5.5,314,2.5
90,austin_2012, 78729,22579,18159,80.4,6.7,472,2.8
91,austin_2012, 78730,6299,4707,74.7,3.5,183,4.0
92,austin_2012, 78731,20759,13851,66.7,3.8,398,3.0
93,austin_2012, 78732,9333,6650,71.3,5.1,229,3.6
94,austin_2012, 78733,6772,4389,64.8,4.1,45,1.1
95,austin_2012, 78734,14249,9217,64.7,7.0,128,1.5
96,austin_2012, 78735,13106,8696,66.4,3.8,172,2.1
97,austin_2012, 78736,5754,3983,69.2,6.2,58,1.6
98,austin_2012, 78737,9593,6659,69.4,4.2,105,1.7
99,austin_2012, 78738,8996,5851,65.0,5.8,80,1.5
100,austin_2012, 78739,11633,8119,69.8,3.7,94,1.2
101,austin_2012, 78741,38257,30062,78.6,9.1,544,2.0
102,austin_2012, 78742,666,419,62.9,10.6,0,0.0
103,austin_2012, 78744,31059,22779,73.3,9.4,219,1.1
104,austin_2012, 78745,46030,35337,76.8,7.4,968,3.0
105,austin_2012, 78746,20974,13711,65.4,4.4,385,2.9
106,austin_2012, 78747,10475,7925,75.7,7.6,128,1.8
107,austin_2012, 78748,31707,24973,78.8,6.1,588,2.5
108,austin_2012, 78749,26940,20551,76.3,3.8,666,3.4
109,austin_2012, 78750,21885,15316,70.0,6.0,423,2.9
110,austin_2012, 78751,13055,10119,77.5,8.8,213,2.3
111,austin_2012, 78752,13689,10481,76.6,9.2,224,2.4
112,austin_2012, 78753,39015,29561,75.8,8.8,388,1.4
113,austin_2012, 78754,10777,8555,79.4,8.6,238,3.1
114,austin_2012, 78756,6970,5361,76.9,3.7,171,3.3
115,austin_2012, 78757,19049,14190,74.5,5.8,366,2.7
116,austin_2012, 78758,34725,27569,79.4,9.9,527,2.1
117,austin_2012,77418,7142,4125,57.8,8.4,50,1.3
118,austin_2012,77426,1552,828,53.4,3.7,0,0.0
119,austin_2012,77473,72,33,45.8,6.1,0,0.0
120,austin_2012,77474,9940,6745,67.9,8.7,53,0.9
121,austin_2012,77485,2938,1760,59.9,2.8,27,1.6
122,austin_2012,77833,22804,12986,56.9,4.1,326,2.6
123,austin_2012,77835,1671,841,50.3,4.3,0,0.0
124,austin_2012,78931,113,52,46.0,0.0,0,0.0
125,austin_2012,78933,1199,824,68.7,4.7,30,3.8
126,austin_2012,78940,1682,1090,64.8,1.7,29,2.7
127,austin_2012,78944,552,337,61.1,0.9,11,3.3
128,austin_2012,78950,1988,1280,64.4,6.0,10,0.8
129,austin_2012,78954,1007,537,53.3,2.2,0,0.0
130,austin_2013, 78610,19273,14056,72.9,7.9,511,4.0
131,austin_2013, 78613,49610,36551,73.7,7.3,903,2.7
132,austin_2013, 78617,15238,9388,61.6,15.4,106,1.3
133,austin_2013, 78641,34919,26203,75.0,7.3,511,2.1
134,austin_2013, 78652,4122,3009,73.0,7.8,251,9.0
135,austin_2013, 78653,11598,8470,73.0,8.5,152,2.0
136,austin_2013, 78660,53552,41238,77.0,7.7,1015,2.7
137,austin_2013, 78664,41549,31953,76.9,8.8,537,1.8
138,austin_2013, 78681,38387,28521,74.3,6.8,697,2.6
139,austin_2013, 78701,5701,4356,76.4,6.3,157,3.8
140,austin_2013, 78702,17221,11450,66.5,10.4,232,2.3
141,austin_2013, 78703,16289,11973,73.5,4.5,520,4.6
142,austin_2013, 78704,36002,28827,80.1,6.9,955,3.6
143,austin_2013, 78705,30654,13331,43.5,13.8,349,3.0
144,austin_2013, 78712,548,132,24.1,15.9,0,0.0
145,austin_2013, 78717,17299,13417,77.6,5.3,398,3.1
146,austin_2013, 78719,1261,781,61.9,12.4,0,0.0
147,austin_2013, 78721,8870,5251,59.2,14.9,105,2.3
148,austin_2013, 78722,5576,4378,78.5,7.8,298,7.4
149,austin_2013, 78723,23464,16671,71.0,9.1,410,2.7
150,austin_2013, 78724,14612,9613,65.8,8.4,103,1.2
151,austin_2013, 78725,6023,4650,77.2,6.1,89,2.0
152,austin_2013, 78726,10467,8423,80.5,5.9,327,4.1
153,austin_2013, 78727,23787,18478,77.7,5.3,684,3.9
154,austin_2013, 78728,17135,13361,78.0,6.4,421,3.4
155,austin_2013, 78729,22019,17844,81.0,5.7,379,2.3
156,austin_2013, 78730,6885,5278,76.7,4.3,193,3.8
157,austin_2013, 78731,21291,14321,67.3,4.2,388,2.8
158,austin_2013, 78732,9817,6873,70.0,5.6,186,2.9
159,austin_2013, 78733,6814,4428,65.0,4.4,30,0.7
160,austin_2013, 78734,14664,9753,66.5,7.5,138,1.5
161,austin_2013, 78735,13705,9254,67.5,5.0,164,1.9
162,austin_2013, 78736,5550,3774,68.0,5.6,110,3.1
163,austin_2013, 78737,9983,6829,68.4,4.8,139,2.1
164,austin_2013, 78738,9427,6122,64.9,7.3,80,1.4
165,austin_2013, 78739,11865,8266,69.7,4.5,93,1.2
166,austin_2013, 78741,38794,30158,77.7,9.9,658,2.4
167,austin_2013, 78742,574,332,57.8,16.9,0,0.0
168,austin_2013, 78744,31404,22949,73.1,8.8,291,1.4
169,austin_2013, 78745,47702,36246,76.0,7.7,802,2.4
170,austin_2013, 78746,21314,13795,64.7,4.3,384,2.9
171,austin_2013, 78747,11947,8630,72.2,5.6,229,2.8
172,austin_2013, 78748,33181,25951,78.2,7.5,692,2.9
173,austin_2013, 78749,27112,20413,75.3,4.0,600,3.1
174,austin_2013, 78750,21841,15565,71.3,6.6,387,2.7
175,austin_2013, 78751,12717,10187,80.1,8.9,189,2.0
176,austin_2013, 78752,14337,10908,76.1,8.5,218,2.2
177,austin_2013, 78753,39120,29695,75.9,8.8,403,1.5
178,austin_2013, 78754,11852,9302,78.5,8.9,233,2.8
179,austin_2013, 78756,7052,5349,75.9,2.3,214,4.1
180,austin_2013, 78757,18952,14076,74.3,4.9,377,2.8
181,austin_2013, 78758,35452,27909,78.7,9.6,511,2.0
182,austin_2013,77418,7338,4382,59.7,8.7,36,0.9
183,austin_2013,77426,1798,928,51.6,3.2,0,0.0
184,austin_2013,77473,76,46,60.5,19.6,0,0.0
185,austin_2013,77474,9859,6644,67.4,9.4,22,0.4
186,austin_2013,77485,3075,1840,59.8,3.0,32,1.8
187,austin_2013,77833,22408,12459,55.6,4.5,236,2.0
188,austin_2013,77835,1944,1072,55.1,4.3,0,0.0
189,austin_2013,78931,176,99,56.3,0.0,0,0.0
190,austin_2013,78933,1248,817,65.5,3.9,0,0.0
191,austin_2013,78940,2027,1263,62.3,1.8,25,2.0
192,austin_2013,78944,551,303,55.0,6.6,4,1.4
193,austin_2013,78950,2135,1313,61.5,6.9,10,0.8
194,austin_2013,78954,926,482,52.1,2.7,0,0.0
195,austin_2014, 78610,20292,14207,70.0,7.3,500,3.8
196,austin_2014, 78613,51663,37415,72.4,6.4,963,2.8
197,austin_2014, 78617,16530,9810,59.3,15.0,137,1.6
198,austin_2014, 78641,36992,28089,75.9,7.2,531,2.1
199,austin_2014, 78652,4324,3100,71.7,8.9,238,8.4
200,austin_2014, 78653,12712,9059,71.3,7.6,262,3.1
201,austin_2014, 78660,56411,42923,76.1,6.7,1239,3.1
202,austin_2014, 78664,42422,32026,75.5,7.2,580,2.0
203,austin_2014, 78681,39062,28812,73.8,6.7,849,3.2
204,austin_2014, 78701,5978,4552,76.1,5.0,229,5.3
205,austin_2014, 78702,17647,11904,67.5,9.0,290,2.7
206,austin_2014, 78703,16458,12396,75.3,4.9,534,4.5
207,austin_2014, 78704,36578,29156,79.7,5.6,1083,3.9
208,austin_2014, 78705,31072,13751,44.3,12.6,475,4.0
209,austin_2014, 78712,557,154,27.6,10.4,0,0.0
210,austin_2014, 78717,18304,13816,75.5,4.9,364,2.8
211,austin_2014, 78719,1353,694,51.3,4.5,3,0.5
212,austin_2014, 78721,9538,5820,61.0,17.3,88,1.8
213,austin_2014, 78722,5635,4420,78.4,7.4,272,6.6
214,austin_2014, 78723,23684,16682,70.4,9.2,399,2.6
215,austin_2014, 78724,15618,10136,64.9,7.7,99,1.1
216,austin_2014, 78725,5666,4762,84.0,8.2,164,3.8
217,austin_2014, 78726,9986,7803,78.1,5.6,327,4.4
218,austin_2014, 78727,24594,18816,76.5,4.0,574,3.2
219,austin_2014, 78728,17052,13513,79.2,4.8,394,3.1
220,austin_2014, 78729,23479,18917,80.6,5.6,417,2.3
221,austin_2014, 78730,6797,4904,72.1,4.6,108,2.3
222,austin_2014, 78731,21729,14269,65.7,4.5,312,2.3
223,austin_2014, 78732,10038,6939,69.1,3.6,144,2.2
224,austin_2014, 78733,6760,4572,67.6,5.5,36,0.8
225,austin_2014, 78734,14679,9723,66.2,6.7,177,2.0
226,austin_2014, 78735,13985,9391,67.2,5.3,182,2.0
227,austin_2014, 78736,5852,3916,66.9,2.5,78,2.0
228,austin_2014, 78737,10641,7257,68.2,4.1,218,3.1
229,austin_2014, 78738,9918,6536,65.9,6.7,121,2.0
230,austin_2014, 78739,12476,8654,69.4,3.7,165,2.0
231,austin_2014, 78741,41341,31300,75.7,8.6,573,2.0
232,austin_2014, 78742,465,278,59.8,8.3,0,0.0
233,austin_2014, 78744,32668,23583,72.2,8.0,321,1.5
234,austin_2014, 78745,48776,36899,75.6,7.1,817,2.4
235,austin_2014, 78746,21579,14195,65.8,3.9,427,3.1
236,austin_2014, 78747,12622,8900,70.5,4.7,207,2.5
237,austin_2014, 78748,35661,27903,78.2,6.0,690,2.6
238,austin_2014, 78749,27808,20879,75.1,5.3,610,3.1
239,austin_2014, 78750,22501,16024,71.2,7.0,344,2.3
240,austin_2014, 78751,12527,10003,79.9,9.0,268,2.9
241,austin_2014, 78752,15287,11881,77.7,7.8,256,2.3
242,austin_2014, 78753,40370,30005,74.3,7.4,353,1.3
243,austin_2014, 78754,13048,9999,76.6,9.5,149,1.6
244,austin_2014, 78756,7400,5641,76.2,2.2,308,5.6
245,austin_2014, 78757,19422,14593,75.1,4.5,364,2.6
246,austin_2014, 78758,35148,27223,77.5,8.9,586,2.4
247,austin_2014,77418,7488,4370,58.4,6.4,32,0.8
248,austin_2014,77426,1710,955,55.8,4.5,0,0.0
249,austin_2014,77473,56,34,60.7,47.1,0,0.0
250,austin_2014,77474,9870,6705,67.9,8.5,77,1.3
251,austin_2014,77485,3018,1921,63.7,3.6,35,1.9
252,austin_2014,77833,23214,12764,55.0,4.0,265,2.2
253,austin_2014,77835,1821,933,51.2,2.3,0,0.0
254,austin_2014,78931,150,77,51.3,0.0,0,0.0
255,austin_2014,78933,1167,651,55.8,0.0,0,0.0
256,austin_2014,78940,1964,1187,60.4,1.8,16,1.4
257,austin_2014,78944,526,307,58.4,5.5,4,1.4
258,austin_2014,78950,2270,1416,62.4,6.4,35,2.6
259,austin_2014,78954,922,416,45.1,4.8,0,0.0
260,austin_2015, 78610,22079,15454,70.0,6.3,615,4.3
